"url","title","artist","style","date"
"http://uploads2.wikiart.org/images/sophie-taeuber-arp/vertical-and-horizontal-composition-1916.jpg","Vertical and horizontal composition","Sophie Taeuber-Arp","abstract-art",1916
"http://uploads8.wikiart.org/images/theo-van-doesburg/heroic-movement-1916.jpg","Heroic movement","Theo van Doesburg","abstract-art",1916
"http://uploads6.wikiart.org/images/johannes-itten/die-begegnung-1916(1).jpg","The Meeting","Johannes Itten","abstract-art",1916
"http://uploads8.wikiart.org/images/paul-klee/cacodemonic-1916(1).jpg","Cacodemonic","Paul Klee","abstract-art",1916
"http://uploads0.wikiart.org/images/georgia-o-keeffe/black-lines-1.jpg","Black Lines 1","Georgia O'Keeffe","abstract-art",1916
"http://uploads3.wikiart.org/images/georgia-o-keeffe/blue-01.jpg","Blue-01","Georgia O'Keeffe","abstract-art",1916
"http://uploads3.wikiart.org/images/georgia-o-keeffe/blue-02.jpg","Blue-02","Georgia O'Keeffe","abstract-art",1916
"http://uploads3.wikiart.org/images/georgia-o-keeffe/blue-03.jpg","Blue-03","Georgia O'Keeffe","abstract-art",1916
"http://uploads3.wikiart.org/images/georgia-o-keeffe/blue-04.jpg","Blue-04","Georgia O'Keeffe","abstract-art",1916
"http://uploads5.wikiart.org/images/vladimir-tatlin/composition-the-month-of-may.jpg","Composition (the month of May)","Vladimir Tatlin","abstract-art",1916
"http://uploads5.wikiart.org/images/lyubov-popova/untitled-compositions.jpg","Untitled Compositions","Lyubov Popova","abstract-art",1916
"http://uploads4.wikiart.org/images/alberto-magnelli/femme-la-blouse-jaune-1916.jpg","Femme a la blouse jaune","Alberto Magnelli","abstract-art",1916
"http://uploads4.wikiart.org/images/john-marin/weehawken-sequence-1916.jpg","Weehawken Sequence","John Marin","abstract-art",1916
"http://uploads1.wikiart.org/images/john-marin/weehawken-sequence-no-30-1916.jpg","Weehawken Sequence, No. 30","John Marin","abstract-art",1916
"http://uploads4.wikiart.org/images/gerardo-dottori/ritmi-astrali-1916.jpg","Ritmi astrali","Gerardo Dottori","abstract-art",1916
"http://uploads5.wikiart.org/images/alexej-von-jawlensky/variation-1916.jpg","Variation","Alexej von Jawlensky","abstract-art",1916
"http://uploads3.wikiart.org/images/alexej-von-jawlensky/variation-field-of-tulips-1916.jpg","Variation: Field of Tulips","Alexej von Jawlensky","abstract-art",1916
"http://uploads6.wikiart.org/images/alexej-von-jawlensky/variation-tr-umerei-1916.jpg","Variation: Traumerei","Alexej von Jawlensky","abstract-art",1916
"http://uploads8.wikiart.org/images/wassily-kandinsky/painting-on-light-ground-1916.jpg","Painting on light ground","Wassily Kandinsky","abstract-art",1916
"http://uploads4.wikiart.org/images/wassily-kandinsky/to-the-unknown-voice-1916.jpg","To the Unknown Voice","Wassily Kandinsky","abstract-art",1916
"http://uploads5.wikiart.org/images/hilma-af-klint/forwards-parcifal-series-group-2-section-4-the-convolute-of-the-physical-plane-1916.jpg","Forwards, Parcifal Series, Group 2, Section 4: The Convolute of the Physical Plane","Hilma af Klint","abstract-art",1916
"http://uploads2.wikiart.org/images/wassily-kandinsky/grey-oval-1917.jpg","Grey oval","Wassily Kandinsky","abstract-art",1917
"http://uploads4.wikiart.org/images/wassily-kandinsky/improvisation-209-1917(1).jpg","Improvisation 29","Wassily Kandinsky","abstract-art",1917
"http://uploads0.wikiart.org/images/paul-klee/with-the-egg-1917(1).jpg","With the Egg","Paul Klee","abstract-art",1917
"http://uploads6.wikiart.org/images/francis-picabia/machine-turn-quickly.jpg","Machine Turn Quickly","Francis Picabia","abstract-art",1917
"http://uploads4.wikiart.org/images/theo-van-doesburg/dance-i.jpg","Dance I","Theo van Doesburg","abstract-art",1917
"http://uploads1.wikiart.org/images/theo-van-doesburg/dance-ii-1917.jpg","Dance II","Theo van Doesburg","abstract-art",1917
"http://uploads8.wikiart.org/images/constantin-brancusi/the-first-cry-1917.jpg","The First Cry","Constantin Brancusi","abstract-art",1917
"http://uploads1.wikiart.org/images/sophie-taeuber-arp/elementary-forms-1917.jpg","Elementary Forms","Sophie Taeuber-Arp","abstract-art",1917
"http://uploads2.wikiart.org/images/alexej-von-jawlensky/variation-glorreicher-abend-sommersegen-ii-1917.jpg","Variation: Glorreicher Abend - Sommersegen II","Alexej von Jawlensky","abstract-art",1917
"http://uploads0.wikiart.org/images/vladimir-tatlin/tabla-number-1.jpg","Tabla Number 1","Vladimir Tatlin","abstract-art",1917
"http://uploads1.wikiart.org/images/marcel-janco/euphoria-dada-1917.jpg","Euphoria Dada","Marcel Janco","abstract-art",1917
"http://uploads0.wikiart.org/images/auguste-herbin/composition-cubiste-1917.jpg","Composition cubiste","Auguste Herbin","abstract-art",1917
"http://uploads7.wikiart.org/images/marsden-hartley/sextant-1917.jpg","Sextant","Marsden Hartley","abstract-art",1917
"http://uploads2.wikiart.org/images/alexej-von-jawlensky/variation-z-rtlichkeiten-1917.jpg","Variation: Zartlichkeiten","Alexej von Jawlensky","abstract-art",1917
"http://uploads4.wikiart.org/images/hilma-af-klint/atom-series-no-8-atom-on-the-ether-plane-is-in-constant-change-between-rest-and-activity-at-the-1917.jpg","Atom Series, No. 8: Atom on the ether plane is in constant change between rest and activity. At the rest it pulls itself inwards. This affects the earthly atom as giving of force.","Hilma af Klint","abstract-art",1917
"http://uploads6.wikiart.org/00146/images/stanislaw-ignacy-witkiewicz/nova-aurigae-1918.jpg","Nova Aurigae","Stanislaw Ignacy Witkiewicz","abstract-art",1918
"http://uploads5.wikiart.org/images/paul-klee/once-emerged-from-the-gray-of-night-1918(1).jpg","Once Emerged from the Gray of Night","Paul Klee","abstract-art",1918
"http://uploads0.wikiart.org/images/georgia-o-keeffe/series-i-no-8.jpg","Series I, No. 8","Georgia O'Keeffe","abstract-art",1918
"http://uploads0.wikiart.org/images/georgia-o-keeffe/series-i-no-3.jpg","Series I, No. 3","Georgia O'Keeffe","abstract-art",1918
"http://uploads0.wikiart.org/images/georgia-o-keeffe/series-1-no-8.jpg","Series 1, No. 8","Georgia O'Keeffe","abstract-art",1918
"http://uploads0.wikiart.org/images/lyubov-popova/painterly-architectonic-3.jpg","Painterly-Architectonic","Lyubov Popova","abstract-art",1918
"http://uploads3.wikiart.org/images/francis-picabia/lausanne-abstract.jpg","Lausanne Abstract","Francis Picabia","abstract-art",1918
"http://uploads7.wikiart.org/images/lyubov-popova/painterly-architectonic.jpg","Painterly Architectonic","Lyubov Popova","abstract-art",1918
"http://uploads0.wikiart.org/images/lyubov-popova/painterly-architectonic-1.jpg","Painterly Architectonic","Lyubov Popova","abstract-art",1918
"http://uploads5.wikiart.org/images/constantin-brancusi/madame-lr-portrait-de-mme-lr-1918.jpg","Madame LR (Portrait de Mme LR)","Constantin Brancusi","abstract-art",1918
"http://uploads0.wikiart.org/images/jean-hugo/panneaux-de-signalisation-de-chemin-de-fer-1918.jpg","Panneaux de signalisation de chemin de fer","Jean Hugo","abstract-art",1918
"http://uploads4.wikiart.org/images/julius-evola/the-tendency-of-aesthetic-idealism-1918.jpg","The tendency of aesthetic idealism","Julius Evola","abstract-art",1918
"http://uploads0.wikiart.org/images/georgia-o-keeffe/music-pink-and-blue-ii.jpg","Music Pink and Blue","Georgia O'Keeffe","abstract-art",1918
"http://uploads2.wikiart.org/images/georgia-o-keeffe/music-pink-and-blue-ii-1.jpg","Music Pink and Blue II","Georgia O'Keeffe","abstract-art",1918
"http://uploads7.wikiart.org/images/jacoba-van-heemskerck/bild-no-84-1918.jpg","Bild no. 84","Jacoba van Heemskerck","abstract-art",1918
"http://uploads7.wikiart.org/images/johannes-itten/untitled-1918.jpg","Untitled","Johannes Itten","abstract-art",1918
"http://uploads2.wikiart.org/images/sophie-taeuber-arp/untitled-1918.jpg","Untitled","Sophie Taeuber-Arp","abstract-art",1918
"http://uploads0.wikiart.org/images/janos-mattis-teutsch/red-landscape-1918.jpg","Red Landscape","Janos Mattis-Teutsch","abstract-art",1918
"http://uploads0.wikiart.org/images/janos-mattis-teutsch/blue-and-red-landscape-1918.jpg","Blue and Red Landscape","Janos Mattis-Teutsch","abstract-art",1918
"http://uploads3.wikiart.org/images/auguste-herbin/head-1918.jpg","Head","Auguste Herbin","abstract-art",1918
"http://uploads6.wikiart.org/images/edward-wadsworth/view-of-a-town-1918.jpg","View of a Town","Edward Wadsworth","abstract-art",1918
"http://uploads5.wikiart.org/images/rudolf-bauer/con-roso-1918.jpg","Con roso","Rudolf Bauer","abstract-art",1918
"http://uploads8.wikiart.org/images/alexej-von-jawlensky/autumn-sound-1918.jpg","Autumn Sound","Alexej von Jawlensky","abstract-art",1918
